timeStamp,elapsed,label,responseCode,threadName,success,bytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount,Hostname
1444416129609,1977,1 /,200,Thread Group 1-1,TRUE,929290,1,1,301,0,0,ubuntu
1444416131618,451,63 /scholastic/prod/serverComponent.php,200,Thread Group 1-1,TRUE,577,1,1,451,0,0,ubuntu
1444416132070,9,76 /resource/uploads_upfront/Issues/101215/issue.json,200,Thread Group 1-1,TRUE,1105,1,1,9,0,0,ubuntu
1444416128569,2437,Home,200,Thread Group 1-1,TRUE,930972,1,1,761,0,0,ubuntu
1444416132080,0,179 /issues/vIssue,Non HTTP response code: java.net.URISyntaxException,Thread Group 1-1,FALSE,947,1,1,0,0,0,ubuntu
1444416132082,5,180 /resource/templates/global/dynamic_css.cfm,200,Thread Group 1-1,TRUE,14260,1,1,4,0,0,ubuntu
1444416132088,9,182 /resource/scripts/activityMagazines.cfm,200,Thread Group 1-1,TRUE,32092,1,1,4,0,0,ubuntu
1444416132098,0,185 /scholastic/prod/serverComponent.php,Non HTTP response code: java.net.URISyntaxException,Thread Group 1-1,FALSE,1063,1,1,0,0,0,ubuntu
1444416132107,166,188 /scholastic/prod/perf.rnc,204,Thread Group 1-1,TRUE,193,1,1,0,0,0,ubuntu
1444416132274,166,189 /scholastic/prod/TagAuditBeacon.rnc,204,Thread Group 1-1,TRUE,193,1,1,0,0,0,ubuntu
1444416132080,346,Issues ID,,Thread Group 1-1,FALSE,48748,1,1,8,0,0,ubuntu
1444416132446,1705,155 /Issue-Archive,200,Thread Group 1-1,FALSE,756540,1,1,13,0,0,ubuntu
1444416134152,4,158 /resource/templates/global/dynamic_css.cfm,200,Thread Group 1-1,TRUE,14260,1,1,4,0,0,ubuntu
1444416134157,8,159 /resource/scripts/activityMagazines.cfm,200,Thread Group 1-1,TRUE,32092,1,1,8,0,0,ubuntu
1444416134166,182,165 /scholastic/prod/serverComponent.php,200,Thread Group 1-1,TRUE,577,1,1,182,0,0,ubuntu
1444416134355,16,169 /ajax/IssueArchive.cfc,200,Thread Group 1-1,TRUE,2943,1,1,16,0,0,ubuntu
1444416134394,6,168 /ajax/IssueYear.cfc,200,Thread Group 1-1,TRUE,1835,1,1,6,0,0,ubuntu
1444416132445,1921,Issue,,Thread Group 1-1,FALSE,808247,1,1,229,0,0,ubuntu
1444416134401,797,101 /cmp/upfront/sessions,200,Thread Group 1-1,TRUE,12005,1,1,426,0,0,ubuntu
1444416135200,47,103 /issues/10_12_15,200,Thread Group 1-1,TRUE,9148,1,1,46,0,0,ubuntu
1444416135248,48,104 /resource/templates/global/dynamic_css.cfm,200,Thread Group 1-1,TRUE,14260,1,1,48,0,0,ubuntu
1444416135298,49,105 /resource/scripts/activityMagazines.cfm,200,Thread Group 1-1,TRUE,32092,1,1,46,0,0,ubuntu
1444416135348,223,122 /scholastic/prod/serverComponent.php,200,Thread Group 1-1,TRUE,577,1,1,222,0,0,ubuntu
1444416135571,165,130 /scholastic/prod/perf.rnc,204,Thread Group 1-1,TRUE,193,1,1,0,0,0,ubuntu
1444416135739,170,132 /scholastic/prod/TagAuditBeacon.rnc,204,Thread Group 1-1,TRUE,193,1,1,0,0,0,ubuntu
1444416134400,1499,Send User/Pass,200,Thread Group 1-1,TRUE,68468,1,1,788,0,0,ubuntu
1444416135910,3285,137 /Videos,200,Thread Group 1-1,TRUE,764047,1,1,52,0,0,ubuntu
1444416139196,48,138 /resource/templates/global/dynamic_css.cfm,200,Thread Group 1-1,TRUE,14260,1,1,48,0,0,ubuntu
1444416139245,49,139 /resource/scripts/activityMagazines.cfm,200,Thread Group 1-1,TRUE,32092,1,1,47,0,0,ubuntu
1444416139296,183,142 /scholastic/prod/serverComponent.php,200,Thread Group 1-1,TRUE,577,1,1,183,0,0,ubuntu
1444416139480,50,144 /ajax/videoArchive.cfc,200,Thread Group 1-1,TRUE,2048,1,1,50,0,0,ubuntu
1444416135910,3615,Videos,200,Thread Group 1-1,TRUE,813024,1,1,380,0,0,ubuntu
